Edad,Género,Ingresos,Altura,Ciudad,Nivel_Educación,Hijos
80.0,F,24521.0,1.9,Chicago,,5
,,181030.0,1.81,,Mastre,0
74.0,M,66724.0,1.63,Chicago,,5
,,172465.0,1.78,,Mastre,0
91.0,M,94012.0,1.78,Phoenix,Master,3
,,,1.87,,No Education,0
,,157361.0,1.94,,Bachelors,0
85.0,M,39830.0,1.7,Houston,,1
30.0,M,43410.0,1.8,Chicago,Bachelor,3
99.0,F,54303.0,1.6,Phoenix,Phd,2
38.0,F,50497.0,1.6,Phoenix,,5
11.0,M,32872.0,1.73,Houston,Master,2
30.0,M,87387.0,1.77,Chicago,,0
13.0,M,82283.0,1.51,Phoenix,Bachelor,0
49.0,M,32858.0,1.58,Phoenix,,3
,,170167.0,1.63,,Mastre,0
59.0,F,85529.0,1.69,Los Angeles,Master,0
82.0,F,25212.0,1.94,Chicago,Master,2
47.0,M,32986.0,1.77,Houston,Master,3
21.0,M,57136.0,1.69,Houston,Phd,1
48.0,F,37757.0,1.51,New York,Phd,1
46.0,F,91495.0,1.77,New York,Bachelor,3
27.0,F,20173.0,1.81,Houston,Phd,3
86.0,M,56236.0,1.58,Houston,,1
35.0,F,78835.0,1.72,Chicago,Master,2
90.0,M,66525.0,1.56,Houston,Master,1
88.0,M,98608.0,1.89,New York,Bachelor,5
83.0,M,49139.0,1.98,Chicago,Master,1
10.0,F,55317.0,1.65,Chicago,,0
78.0,F,97162.0,1.52,Chicago,,0
82.0,F,45820.0,1.59,Chicago,Bachelor,1
22.0,F,47964.0,1.91,Chicago,Bachelor,0
69.0,M,50874.0,1.86,Chicago,,2
94.0,F,30789.0,1.8,Los Angeles,Bachelor,5
32.0,M,26698.0,1.8,New York,Phd,4
21.0,M,57602.0,1.96,Houston,,5
60.0,F,24980.0,1.79,New York,Bachelor,1
49.0,M,80132.0,1.91,Los Angeles,Bachelor,1
35.0,M,66628.0,1.85,Houston,,5
82.0,M,84355.0,1.83,Los Angeles,Master,2
89.0,M,64096.0,1.87,Chicago,,2
,,,1.61,,Phd,0
29.0,F,83106.0,1.64,Los Angeles,Bachelor,3
88.0,F,24620.0,1.91,Los Angeles,Bachelor,3
42.0,F,68937.0,1.85,Phoenix,Phd,5
99.0,F,36507.0,1.82,Chicago,Phd,1
100.0,F,56504.0,1.96,Chicago,Master,4
,,,1.54,,Mastre,0
30.0,F,42064.0,1.55,Houston,Bachelor,3
5.0,F,69586.0,1.66,Los Angeles,Master,1
41.0,M,42819.0,1.95,New York,Master,2
,,,1.85,,No Education,0
,,,1.81,,No Education,0
9.0,F,29834.0,1.84,Phoenix,Phd,2
28.0,F,87598.0,1.81,New York,,0
73.0,M,72596.0,1.55,Los Angeles,,3
92.0,F,51294.0,1.56,Houston,Master,2
41.0,M,51056.0,1.78,Phoenix,,3
28.0,M,44335.0,1.85,Phoenix,Bachelor,3
,,,1.5,,Phd,0
64.0,F,32332.0,1.89,New York,Phd,1
51.0,M,97109.0,1.98,Los Angeles,Bachelor,4
83.0,F,20352.0,1.92,Houston,Bachelor,2
59.0,M,62298.0,1.99,New York,Bachelor,0
19.0,M,46147.0,1.81,Chicago,Phd,5
34.0,F,46946.0,1.85,Los Angeles,Master,4
18.0,F,42020.0,1.77,Chicago,Master,4
32.0,M,61101.0,1.65,Houston,Master,2
96.0,F,24000.0,1.64,New York,Phd,5
72.0,M,31359.0,1.82,Los Angeles,,0
69.0,F,66096.0,1.56,New York,Bachelor,3
34.0,M,90458.0,1.64,Chicago,,3
96.0,M,23505.0,1.52,New York,Master,3
75.0,M,73471.0,1.59,Chicago,Phd,1
55.0,M,79609.0,1.75,Chicago,Bachelor,1
75.0,F,54875.0,1.58,Chicago,Phd,5
,,,1.92,,No Education,0
47.0,M,79113.0,1.83,Chicago,,0
29.0,F,57830.0,1.87,Chicago,,0
18.0,M,61054.0,1.64,Chicago,Bachelor,0
,,,1.96,,Bachelors,0
64.0,M,61802.0,1.86,New York,Bachelor,4
12.0,F,38334.0,1.6,Chicago,,1
97.0,M,46549.0,1.77,Chicago,Master,3
7.0,M,59250.0,1.61,Los Angeles,Phd,1
15.0,M,26336.0,1.97,New York,Phd,1
20.0,M,84235.0,1.59,Chicago,Bachelor,3
81.0,M,78236.0,1.86,Houston,,4
21.0,F,88688.0,1.63,Houston,Phd,3
88.0,M,25234.0,1.61,New York,Bachelor,4
55.0,F,53096.0,1.56,New York,Master,3
77.0,F,64763.0,1.85,Chicago,,2
9.0,M,22048.0,1.97,New York,,3
50.0,M,23048.0,1.62,Houston,,2
49.0,M,75776.0,1.78,Phoenix,Master,1
77.0,F,88010.0,1.57,New York,Master,2
60.0,M,95576.0,2.0,Phoenix,Master,5
,,167121.0,1.93,,Mastre,0
33.0,F,89453.0,1.6,Chicago,Master,5
71.0,M,95579.0,1.68,Chicago,,0
,,154115.0,1.74,,No Education,0
88.0,F,73560.0,1.64,Chicago,Bachelor,2
93.0,F,80024.0,1.54,Chicago,,4
15.0,F,38197.0,1.6,Phoenix,,5
88.0,F,54297.0,1.66,New York,Master,0
69.0,M,82406.0,1.83,Phoenix,Phd,4
97.0,F,20107.0,1.64,Los Angeles,Phd,2
35.0,M,61096.0,1.79,Phoenix,Phd,5
99.0,F,35065.0,1.56,Phoenix,,1
83.0,M,94108.0,1.93,Houston,Master,4
44.0,F,34093.0,1.59,Los Angeles,,4
15.0,F,42808.0,1.63,Houston,,3
38.0,F,33094.0,1.69,Houston,Master,4
56.0,F,77302.0,1.59,Chicago,Phd,2
21.0,F,54410.0,1.57,Chicago,Bachelor,0
59.0,M,73239.0,1.66,Chicago,Master,5
1.0,M,58831.0,1.81,Phoenix,Master,0
93.0,F,41470.0,1.67,Houston,Master,4
93.0,M,56057.0,1.93,Houston,Phd,5
34.0,F,88719.0,1.76,New York,Bachelor,2
65.0,F,77472.0,1.6,Chicago,Bachelor,1
98.0,F,22033.0,1.57,Los Angeles,Bachelor,1
23.0,M,60802.0,1.91,Los Angeles,,4
65.0,M,26787.0,1.71,Chicago,Master,2
14.0,M,88434.0,1.6,Los Angeles,Phd,1
81.0,F,33128.0,1.66,Houston,,2
39.0,F,81382.0,1.55,New York,Master,2
82.0,M,86234.0,1.85,Phoenix,Bachelor,4
65.0,F,42242.0,1.75,Chicago,Phd,3
78.0,F,54495.0,1.61,Los Angeles,Phd,5
26.0,F,39751.0,1.7,Los Angeles,Bachelor,5
20.0,M,25533.0,1.84,New York,Phd,3
48.0,M,70181.0,1.81,Chicago,Phd,1
98.0,M,24256.0,1.77,Los Angeles,Phd,2
21.0,M,47934.0,1.58,Chicago,Master,3
70.0,F,41806.0,1.76,Houston,Phd,3
100.0,F,70386.0,1.75,New York,Bachelor,2
68.0,M,78113.0,1.5,Los Angeles,Bachelor,2
1.0,M,40824.0,1.83,Los Angeles,Bachelor,0
77.0,M,44775.0,1.62,Phoenix,Bachelor,0
42.0,F,81725.0,1.98,Houston,,0
63.0,F,27877.0,1.97,Los Angeles,Bachelor,1
3.0,M,70625.0,1.99,Los Angeles,Bachelor,2
15.0,M,54605.0,1.67,Chicago,Master,4
47.0,F,93794.0,1.78,Phoenix,Master,2
40.0,M,28372.0,1.56,Los Angeles,,3
,,,1.66,,Bachelors,0
8.0,M,28799.0,1.58,Los Angeles,Master,2
31.0,F,41051.0,1.66,Chicago,Bachelor,3
73.0,M,92858.0,1.84,Chicago,Bachelor,5
11.0,F,70911.0,1.57,Los Angeles,Master,4
11.0,M,49097.0,1.96,Los Angeles,Bachelor,4
94.0,F,65518.0,1.72,Chicago,Master,4
63.0,F,48421.0,1.98,Los Angeles,Master,5
9.0,F,38160.0,1.89,Phoenix,Bachelor,2
98.0,M,55497.0,1.76,Chicago,Bachelor,5
69.0,F,39868.0,1.56,New York,Phd,0
,,,1.78,,No Education,0
17.0,F,40394.0,1.95,Chicago,,5
17.0,F,62062.0,1.61,Los Angeles,Master,1
85.0,F,99508.0,1.99,Chicago,Bachelor,3
61.0,F,47218.0,1.86,Houston,Bachelor,5
71.0,F,98134.0,1.68,Houston,Bachelor,0
22.0,M,84981.0,1.93,Chicago,Phd,4
,,,1.88,,Mastre,0
68.0,F,67696.0,1.61,Houston,Bachelor,3
78.0,M,88678.0,1.85,Los Angeles,Master,3
55.0,M,88527.0,1.54,Houston,Master,4
28.0,M,26028.0,1.98,Los Angeles,Master,3
,,178989.0,1.57,,Bachelors,0
97.0,M,50640.0,1.63,Los Angeles,Master,1
94.0,F,44326.0,1.81,Los Angeles,,2
89.0,F,66164.0,1.86,Houston,Phd,5
26.0,F,22961.0,1.85,Chicago,Master,4
92.0,F,77757.0,1.67,New York,Phd,4
40.0,M,27165.0,1.74,Houston,Phd,2
52.0,F,86039.0,1.66,Los Angeles,Phd,1
86.0,F,95948.0,1.67,Houston,Bachelor,4
84.0,F,85740.0,1.9,Phoenix,Master,2
48.0,M,70722.0,1.69,Chicago,Bachelor,2
,,,1.72,,Mastre,0
67.0,M,44795.0,1.65,Phoenix,Master,1
58.0,M,26013.0,1.87,New York,Bachelor,0
16.0,M,63647.0,1.78,Los Angeles,Master,5
32.0,F,92653.0,1.57,Chicago,,1
29.0,F,24066.0,1.89,Los Angeles,,4
9.0,M,35486.0,1.99,Phoenix,Phd,1
44.0,F,51538.0,1.62,New York,Master,4
3.0,M,47032.0,1.87,Los Angeles,,1
76.0,M,84007.0,1.72,Chicago,Phd,4
71.0,M,49780.0,1.61,Phoenix,Phd,4
30.0,M,85074.0,1.51,Chicago,Phd,3
76.0,F,25140.0,1.52,Chicago,Bachelor,4
29.0,M,85116.0,1.73,Houston,Phd,2
1.0,F,44688.0,1.7,Chicago,Phd,2
,,182808.0,1.83,,No Education,0
91.0,M,60216.0,1.65,Phoenix,Phd,4
81.0,M,33909.0,1.85,Houston,,1
8.0,F,73631.0,1.68,New York,,2
30.0,F,39860.0,1.51,Phoenix,,1
9.0,M,92691.0,1.92,Los Angeles,Phd,1
5.0,M,92335.0,1.62,New York,Master,4
43.0,M,65443.0,1.59,New York,Phd,3
10.0,M,78962.0,1.71,Houston,Master,1
66.0,M,54556.0,1.73,Phoenix,,5
,,188958.0,1.79,,Bachelors,0
36.0,M,46249.0,1.73,Phoenix,Phd,2
,,,1.81,,Phd,0
63.0,M,85128.0,1.61,New York,,0
,,193792.0,1.9,,Mastre,0
70.0,M,56819.0,1.64,Chicago,Bachelor,3
17.0,M,90645.0,1.58,Los Angeles,Bachelor,3
93.0,F,23164.0,1.64,New York,Master,2
,,,1.62,,Mastre,0
74.0,F,92091.0,1.77,Chicago,Phd,1
61.0,F,68253.0,1.95,Phoenix,,0
32.0,M,55432.0,1.99,Phoenix,,4
61.0,F,46505.0,1.89,New York,Phd,3
53.0,M,89294.0,1.55,Los Angeles,Bachelor,3
25.0,F,46230.0,1.8,Los Angeles,Master,3
13.0,M,33025.0,1.85,New York,,5
,,191475.0,1.94,,Phd,0
,,192518.0,1.71,,No Education,0
56.0,M,59292.0,1.67,New York,,5
46.0,M,84002.0,1.84,New York,,5
55.0,F,42990.0,1.65,Phoenix,Phd,5
53.0,F,54813.0,1.74,New York,,3
60.0,M,29345.0,1.82,Chicago,Master,0
94.0,F,26862.0,1.51,Chicago,Master,3
7.0,M,44887.0,1.51,Phoenix,,3
87.0,F,64543.0,1.69,Phoenix,Master,5
84.0,F,28808.0,1.89,New York,Phd,1
83.0,M,86565.0,1.52,Chicago,Master,4
,,,1.64,,Bachelors,0
8.0,F,64407.0,1.94,Los Angeles,Bachelor,2
52.0,F,66753.0,1.7,Phoenix,,4
94.0,M,58387.0,1.9,Houston,Master,1
,,,1.89,,Phd,0
14.0,M,68973.0,1.98,New York,Phd,2
32.0,M,41719.0,1.94,Chicago,Master,1
25.0,F,92086.0,1.51,Houston,Bachelor,1
25.0,M,35741.0,1.59,Los Angeles,Master,1
69.0,F,50938.0,1.99,Los Angeles,Master,1
58.0,F,83944.0,1.74,New York,,3
18.0,M,43510.0,1.7,Chicago,,5
55.0,M,99643.0,1.76,Houston,Master,3
24.0,F,53220.0,1.78,Phoenix,Bachelor,5
36.0,F,70664.0,1.92,Los Angeles,Bachelor,1
60.0,F,93418.0,1.77,Phoenix,Master,4
32.0,F,29673.0,1.59,Los Angeles,,5
,,,1.74,,Mastre,0
57.0,F,75914.0,1.85,Los Angeles,Bachelor,5
71.0,F,61777.0,1.52,New York,Master,3
13.0,F,46168.0,1.92,Los Angeles,Master,3
,,173250.0,1.77,,Bachelors,0
84.0,M,60619.0,1.93,Phoenix,,3
70.0,F,92779.0,1.55,Los Angeles,Phd,3
2.0,M,33172.0,1.75,Los Angeles,,2
12.0,M,34262.0,1.91,Houston,,1
97.0,F,99939.0,2.0,Chicago,,3
,,,1.72,,Bachelors,0
22.0,F,39595.0,1.62,Los Angeles,,3
53.0,M,92168.0,1.72,Los Angeles,Master,0
63.0,F,91715.0,1.91,Phoenix,,1
62.0,F,39655.0,1.93,New York,Phd,2
28.0,F,93123.0,1.66,Phoenix,Phd,1
52.0,F,40300.0,1.87,New York,Phd,3
8.0,M,36553.0,1.8,New York,Bachelor,4
22.0,M,33927.0,1.96,Houston,Master,1
49.0,M,40937.0,1.97,New York,Phd,0
1.0,F,85825.0,1.66,New York,Master,2
50.0,M,38300.0,1.98,Houston,Bachelor,1
34.0,F,71458.0,1.84,Houston,,5
59.0,M,44806.0,1.66,Phoenix,Bachelor,1
37.0,F,37759.0,1.87,Chicago,,0
55.0,M,48077.0,1.58,Los Angeles,Master,1
90.0,F,74385.0,1.51,Houston,Bachelor,1
94.0,M,68640.0,1.79,Los Angeles,Phd,4
72.0,F,54912.0,1.52,New York,,5
85.0,F,67377.0,1.63,Los Angeles,Phd,1
92.0,M,58849.0,1.52,Chicago,Master,4
63.0,M,22318.0,1.76,Chicago,,5
20.0,M,60176.0,1.51,Chicago,Bachelor,2
25.0,M,23396.0,1.52,Los Angeles,Phd,1
38.0,M,97195.0,1.67,Chicago,Master,1
28.0,M,44622.0,1.82,Los Angeles,,2
8.0,F,82139.0,1.66,Los Angeles,,1
75.0,F,24878.0,1.79,Los Angeles,Master,5
95.0,M,86318.0,1.65,Chicago,Master,0
70.0,M,59977.0,1.56,Chicago,Master,1
8.0,M,82504.0,1.98,Los Angeles,,1
96.0,M,59558.0,1.72,Los Angeles,Bachelor,1
41.0,F,60307.0,1.54,Houston,Phd,3
8.0,M,24649.0,1.51,Chicago,Bachelor,5
7.0,F,92081.0,1.59,Phoenix,,5
75.0,F,41111.0,1.71,Houston,Master,0
62.0,M,28183.0,1.87,Houston,Master,5
65.0,F,38811.0,1.8,Chicago,,5
68.0,M,63898.0,1.82,Houston,Bachelor,3
21.0,F,32729.0,1.65,New York,,3
8.0,M,45760.0,1.89,Phoenix,Phd,1
66.0,M,66341.0,1.65,Houston,Bachelor,4
11.0,M,29583.0,1.78,Houston,,2
24.0,F,48721.0,1.6,Phoenix,Phd,4
9.0,F,22112.0,1.52,Los Angeles,,4
,,195484.0,1.87,,Mastre,0
9.0,F,74503.0,1.71,Phoenix,Phd,2
87.0,M,84462.0,1.77,New York,Master,3
31.0,M,70315.0,1.62,Houston,Phd,3
52.0,M,46459.0,1.96,Los Angeles,Bachelor,1
16.0,M,35770.0,1.51,Phoenix,Phd,2
,,,1.96,,Bachelors,0
32.0,M,92618.0,1.99,Phoenix,Master,5
75.0,M,51652.0,1.88,Los Angeles,Phd,2
,,,1.94,,No Education,0
6.0,F,88109.0,1.6,New York,Phd,4
80.0,M,71930.0,1.91,Phoenix,Bachelor,3
11.0,M,89014.0,1.67,Chicago,Phd,3
54.0,M,53870.0,1.72,Phoenix,Phd,1
85.0,M,35868.0,1.74,Phoenix,Bachelor,1
75.0,F,96054.0,1.93,Phoenix,Phd,1
73.0,M,52613.0,1.79,Houston,,1
67.0,M,80007.0,1.76,New York,Bachelor,3
41.0,M,24242.0,1.67,New York,Bachelor,0
34.0,M,56622.0,1.61,Los Angeles,Master,4
27.0,F,47626.0,1.84,New York,Phd,2
86.0,M,46760.0,1.99,New York,,1
92.0,F,23974.0,1.76,Los Angeles,Phd,1
,,,1.56,,Bachelors,0
31.0,F,43031.0,1.86,Phoenix,Phd,4
34.0,F,65250.0,1.67,Phoenix,Bachelor,0
51.0,M,35113.0,1.88,New York,Phd,2
17.0,F,64401.0,1.57,Chicago,,3
86.0,F,72606.0,1.69,New York,Bachelor,2
83.0,M,47268.0,1.74,Phoenix,Bachelor,1
39.0,M,58161.0,1.94,Phoenix,Master,0
59.0,F,62074.0,1.95,Houston,Bachelor,0
41.0,F,22204.0,1.61,New York,Bachelor,0
97.0,M,28630.0,1.89,Phoenix,Bachelor,4
10.0,M,21724.0,1.62,Los Angeles,,5
,,165214.0,1.55,,Mastre,0
,,,1.65,,No Education,0
80.0,M,42133.0,1.63,New York,,3
,,177010.0,1.84,,No Education,0
13.0,M,32317.0,1.58,Phoenix,Master,2
10.0,M,55465.0,1.87,Los Angeles,Phd,5
69.0,M,41011.0,1.76,Houston,Phd,2
28.0,M,86306.0,1.82,Houston,,4
65.0,F,59687.0,1.96,New York,Master,2
34.0,F,99139.0,1.85,Houston,Master,3
17.0,M,92351.0,1.77,Houston,Phd,4
45.0,M,91518.0,1.87,Los Angeles,Bachelor,2
9.0,M,99478.0,1.97,Chicago,Master,5
32.0,F,82922.0,1.62,New York,Master,2
,,,2.0,,No Education,0
37.0,M,89693.0,1.99,New York,Bachelor,3
21.0,M,93480.0,1.64,Houston,Phd,0
57.0,F,75617.0,1.83,Houston,Phd,5
70.0,M,26401.0,1.74,Los Angeles,Bachelor,0
91.0,M,20809.0,1.88,Chicago,,4
,,179148.0,1.72,,Phd,0
,,183826.0,1.88,,Bachelors,0
84.0,M,83472.0,1.79,Houston,,4
68.0,M,56827.0,1.63,Chicago,,1
2.0,F,92152.0,1.81,Houston,Bachelor,0
86.0,F,46685.0,1.68,New York,Master,2
71.0,M,53141.0,1.73,Houston,Bachelor,2
39.0,F,78378.0,1.71,Chicago,Phd,1
85.0,F,95481.0,1.76,New York,Master,1
14.0,M,42570.0,1.76,Los Angeles,Bachelor,1
18.0,M,79106.0,1.84,Chicago,Phd,0
34.0,M,87052.0,1.77,Chicago,Phd,5
15.0,M,42813.0,1.67,Los Angeles,Master,1
14.0,M,39308.0,1.51,New York,Phd,1
96.0,M,20684.0,1.75,New York,,5
71.0,F,82336.0,1.55,Houston,Bachelor,3
20.0,F,68146.0,1.94,Houston,Bachelor,0
35.0,F,98478.0,1.57,Houston,Bachelor,0
37.0,M,22867.0,1.91,Houston,,5
78.0,M,79056.0,1.76,Phoenix,,3
27.0,M,41745.0,1.9,Chicago,Bachelor,1
92.0,M,82970.0,1.99,Los Angeles,,5
44.0,F,84534.0,1.74,Los Angeles,Master,4
,,,1.59,,Mastre,0
88.0,M,61885.0,1.72,Los Angeles,Master,0
82.0,F,74562.0,1.9,Phoenix,Phd,0
34.0,M,30620.0,1.79,Houston,,4
65.0,M,79176.0,1.72,New York,Master,0
63.0,F,20984.0,1.75,New York,Bachelor,1
33.0,M,32841.0,1.78,Phoenix,Bachelor,3
7.0,F,22534.0,1.58,Chicago,Phd,2
12.0,F,43715.0,1.99,New York,Bachelor,1
82.0,F,88039.0,1.8,New York,Bachelor,5
55.0,F,29523.0,1.54,Chicago,,1
36.0,F,70795.0,1.72,Los Angeles,Bachelor,1
6.0,F,75681.0,1.68,Houston,Master,0
1.0,M,29476.0,1.89,Houston,Phd,5
43.0,F,82305.0,1.53,Houston,Master,3
99.0,F,81469.0,1.61,Phoenix,Bachelor,5
17.0,M,66062.0,1.76,Los Angeles,Master,3
82.0,M,54555.0,1.62,New York,Bachelor,2
34.0,F,86624.0,1.76,Houston,Phd,3
21.0,M,80184.0,1.95,Houston,Bachelor,1
95.0,F,63126.0,1.74,Chicago,,0
57.0,M,36342.0,1.68,Chicago,Bachelor,5
71.0,F,77495.0,1.79,New York,,1
91.0,M,39240.0,1.57,Phoenix,,5
55.0,M,57377.0,1.71,Houston,Master,0
72.0,M,50214.0,1.78,Chicago,,5
2.0,F,31856.0,1.87,Los Angeles,,2
15.0,M,91876.0,1.66,Houston,Bachelor,2
10.0,M,21938.0,1.81,Los Angeles,Master,4
89.0,M,39015.0,1.66,Chicago,Bachelor,2
20.0,F,28828.0,1.95,Houston,Bachelor,1
,,181508.0,1.72,,Bachelors,0
5.0,M,31454.0,1.87,New York,Phd,3
48.0,F,88538.0,1.64,Houston,Bachelor,3
75.0,M,54314.0,1.68,Chicago,Bachelor,5
71.0,M,80148.0,1.69,Los Angeles,Bachelor,5
19.0,F,84323.0,1.93,Los Angeles,,4
56.0,F,90878.0,1.7,Los Angeles,Bachelor,0
17.0,F,54973.0,1.9,Chicago,Bachelor,0
6.0,F,24195.0,1.77,Chicago,Master,0
40.0,M,50043.0,1.52,New York,Phd,5
,,,1.76,,No Education,0
6.0,M,74848.0,1.85,Houston,,0
46.0,F,45539.0,1.82,Houston,Master,2
27.0,M,57094.0,1.99,Phoenix,Bachelor,5
,,,1.55,,No Education,0
32.0,F,96534.0,1.62,Phoenix,,5
86.0,F,85684.0,1.84,Chicago,Master,1
14.0,F,93535.0,1.94,Houston,Phd,4
46.0,M,57815.0,1.69,New York,Bachelor,1
100.0,F,83725.0,1.86,Houston,Master,3
72.0,M,78534.0,1.82,Houston,Phd,3
,,182511.0,1.65,,Phd,0
80.0,F,58486.0,1.92,Los Angeles,Master,2
96.0,F,44900.0,1.97,Phoenix,Bachelor,1
20.0,M,93217.0,1.79,New York,,3
31.0,F,83964.0,1.79,New York,Bachelor,4
21.0,M,36582.0,1.81,Los Angeles,Bachelor,5
23.0,M,72641.0,1.75,Los Angeles,,2
53.0,M,30596.0,1.96,Phoenix,Phd,4
4.0,F,50647.0,1.6,New York,Bachelor,2
,,181950.0,1.6,,Phd,0
95.0,M,96684.0,1.85,Chicago,Phd,4
,,154738.0,1.75,,Bachelors,0
53.0,M,73776.0,1.95,Chicago,Phd,2
86.0,M,74538.0,1.57,Chicago,Bachelor,3
95.0,F,49714.0,1.85,Chicago,Bachelor,1
32.0,F,32194.0,1.56,Phoenix,,5
35.0,F,76549.0,1.86,Los Angeles,Master,2
21.0,M,53071.0,1.98,Houston,Master,0
90.0,F,54723.0,1.94,Phoenix,,1
14.0,M,22731.0,2.0,Chicago,Bachelor,2
49.0,F,26116.0,1.87,Los Angeles,Bachelor,1
5.0,M,21056.0,1.55,Los Angeles,,4
61.0,F,21723.0,1.73,Phoenix,Phd,0
29.0,M,86830.0,1.72,Houston,,4
26.0,F,51191.0,1.89,Los Angeles,Master,1
59.0,M,64087.0,1.69,New York,Phd,0
45.0,M,65659.0,1.61,Los Angeles,Phd,0
40.0,M,65746.0,1.77,Los Angeles,,0
30.0,F,41679.0,1.9,Phoenix,Bachelor,5
29.0,M,50375.0,1.94,Chicago,Phd,5
4.0,M,80601.0,1.52,Houston,Bachelor,3
85.0,M,56460.0,1.87,Los Angeles,,1
25.0,F,24414.0,1.87,Phoenix,Bachelor,2
52.0,F,52489.0,1.99,New York,Master,1
,,,1.87,,Bachelors,0
36.0,M,91031.0,1.53,Los Angeles,Phd,5
9.0,F,50175.0,1.92,Los Angeles,Phd,5
99.0,M,50321.0,1.92,Chicago,Bachelor,5
,,185434.0,1.81,,Phd,0
45.0,F,50802.0,1.95,New York,Master,4
83.0,M,79064.0,1.8,Chicago,Phd,1
66.0,M,20968.0,1.82,Los Angeles,,4
52.0,M,78983.0,1.59,Chicago,Master,4
87.0,M,85627.0,2.0,Chicago,Bachelor,3
69.0,F,48346.0,1.85,Chicago,Bachelor,5
43.0,M,60819.0,1.94,Los Angeles,Bachelor,3
4.0,M,24564.0,1.87,New York,Phd,5
15.0,F,44278.0,1.54,Phoenix,,2
34.0,M,26283.0,1.99,New York,Bachelor,2
23.0,M,20973.0,1.88,Houston,,4
75.0,M,22011.0,1.89,New York,Bachelor,2
34.0,M,94913.0,1.88,Los Angeles,Bachelor,1
5.0,M,78832.0,1.8,Houston,Master,2
14.0,F,57940.0,1.61,Los Angeles,,0
77.0,M,64293.0,1.8,Phoenix,Bachelor,5
56.0,M,84830.0,1.94,Phoenix,Master,3
45.0,M,36423.0,1.86,Chicago,Phd,1
94.0,F,55418.0,1.98,Houston,Bachelor,4
41.0,M,46827.0,1.88,Phoenix,,0
56.0,M,79850.0,1.8,Houston,Master,5
78.0,M,60209.0,1.56,Houston,,0
66.0,F,76660.0,1.87,New York,Phd,4
15.0,F,86706.0,1.52,Houston,Phd,1
50.0,F,29208.0,1.68,Houston,Bachelor,3
74.0,F,87137.0,1.59,New York,Master,1
25.0,F,46333.0,1.72,Phoenix,,3
33.0,F,56627.0,1.88,Chicago,,3
